S.No, Var, Age
1742,571,17
1743,378,17
1744,429,12
1745,164,11
1746,414,16
1747,378,15
1748,161,12
1749,416,13
1750,183,11
1751,365,14
1752,373,14
1753,111,12
1754,88,14
1755,271,16
1756,190,16
1757,141,11
1758,122,7
1759,400,10
1760,207,17
1761,315,16
1762,181,7
1763,479,11
1764,227,17
1765,341,13
1766,159,10
1767,253,16
1768,355,16
1769,139,6
1770,99.1,5
1771,381,10
1772,358,18
1773,502,13
1774,559,13
1775,239,17
1776,327,15
1777,265,18
1778,85.5,10
1779,209,18
1780,459,15
1781,72,5
1782,300,9
1783,123,8
1784,152,13
1785,344,17
1786,438,14
1787,142,10
1788,275,16
1789,338,15
1790,512,15
1791,242,18
1792,352,16
1793,459,14
1794,371,17
1795,192,14
1796,123,7
1797,69.3,5
1798,408,14
1799,286,15
1800,332,16
1801,190,13
1802,333,17
1803,201,6
1804,620,14
1805,304,16
1806,248,18
1807,210,17
1808,123,9
1809,186,10
1810,85.6,5
1811,547,12
1812,329,15
1813,335,15
1814,141,9
1815,371,15
1816,352,10
1817,514,15
1818,251,16
1819,339,13
1820,243,17
1821,154,18
1822,414,13
1823,157,11
1824,237,17
1825,384,17
1826,413,16
1827,454,10
1828,333,8
1829,108,6
1830,195,16
1831,261,18
1832,349,14
1833,513,13
1834,231,9
1835,336,16
1836,327,17
1837,327,10
1838,162,8
1839,302,14
1840,506,13
1841,153,15
1842,360,16
1843,613,13
1844,246,15
1845,306,14
1846,218,17
1847,47.9,5
1848,330,15
1849,314,17
1850,415,18
1851,251,15
1852,145,16
1853,457,15
1854,294,17
1855,485,16
1856,172,5
1857,436,12
1858,118,5
1859,204,16
1860,302,15
1861,92,16
1862,155,17
1863,219,15
1864,203,10
1865,58.2,13
1866,202,11
1867,345,17
1868,192.4,9
1869,112,16
1870,205.4,16
1871,92.3,17
1872,277,17
1873,413,12
1874,192,8
1875,238,9
1876,390,8
1877,219,14
1878,425,17
1879,318,17
1880,216,16
1881,239,14
1882,224,16
1883,131.4,18
1884,319,16
1885,111.6,9
1886,319,9
1887,226,6
1888,318,12
1889,118,11
1890,309,11
1891,190,5
1892,318,15
1893,131.4,11
1894,453,11
